date;remitt
1/1/2002;657,44
1/2/2002;523,08
1/3/2002;581,09
1/4/2002;709,64
1/5/2002;603,46
1/6/2002;680,85
1/7/2002;815,53
1/8/2002;849,86
1/9/2002;585,71
1/10/2002;603,68
1/11/2002;578,4
1/12/2002;821,29
1/1/2003;737,42
1/2/2003;580,62
1/3/2003;598,02
1/4/2003;573,47
1/5/2003;537,59
1/6/2003;671,49
1/7/2003;886,19
1/8/2003;835,34
1/9/2003;581,8
1/10/2003;557,86
1/11/2003;527,96
1/12/2003;905,51
1/1/2004;811,32
1/2/2004;586,12
1/3/2004;642,67
1/4/2004;618,15
1/5/2004;597,5
1/6/2004;753,18
1/7/2004;933,95
1/8/2004;980,37
1/9/2004;660,09
1/10/2004;555,15
1/11/2004;680,43
1/12/2004;931,83
1/1/2005;888,82
1/2/2005;769,41
1/3/2005;781,22
1/4/2005;865,14
1/5/2005;820,99
1/6/2005;1 001,70
1/7/2005;1 132,23
1/8/2005;1 185,82
1/9/2005;839,33
1/10/2005;761,99
1/11/2005;845,83
1/12/2005;1 109,51
1/1/2006;936,93
1/2/2006;788,52
1/3/2006;859,39
1/4/2006;809,97
1/5/2006;899,15
1/6/2006;961,46
1/7/2006;1 105,53
1/8/2006;1 087,60
1/9/2006;798,3
1/10/2006;767,97
1/11/2006;774,56
1/12/2006;1 038,18
1/1/2007;971,39
1/2/2007;755,24
1/3/2007;791,87
1/4/2007;711,03
1/5/2007;750,86
1/6/2007;788,02
1/7/2007;1 140,79
1/8/2007;1 096,18
1/9/2007;676,62
1/10/2007;753,2
1/11/2007;762,65
1/12/2007;961,17
1/1/2008;941,32
1/2/2008;746,55
1/3/2008;740,83
1/4/2008;774,4
1/5/2008;751,58
1/6/2008;829,06
1/7/2008;1 237,09
1/8/2008;1 180,23
1/9/2008;889,36
1/10/2008;860,68
1/11/2008;800,96
1/12/2008;1 168,00
1/1/2009;987,12
1/2/2009;840,7
1/3/2009;843,7
1/4/2009;780,81
1/5/2009;785,12
1/6/2009;857,61
1/7/2009;1 153,07
1/8/2009;1 086,35
